	CTCF	NR2F2	SP1	HNF4A	YY1	FOSL1::JUN	FOXA1	TFAP2C	CREB1	PPARA::RXRA	RXRA	GABPA	HNF1A	ONECUT1	AHR	XBP1	REST
CTCF	0.0	-0.005216848821648884	0.06779977947343102	0.04590035256134073	-0.05748855250763521	0.08135823089129396	0.00903393001024258	-0.0016932649113423626	0.046311067561478014	0.019620553132074614	0.05776800416420963	0.06573843425196918	0.07910232219793156	-0.043018133215161264	0.07974244092833976	0.1408726911829063	0.01496319479145633
NR2F2	0.005229292068393204	0.0	0.0719168894411184	0.049798251089954004	-0.09645849139537331	0.051242182709993866	-0.006663096526024759	0.015784784788565764	0.1279628573520017	0.06273183083020989	0.047343725909068046	0.03327361238070814	0.0919992209527346	0.018032358171484353	-0.07231024536293262	0.14203365975103754	-0.04242267293748775
SP1	-0.05009272725952141	-0.0719168894411184	0.0	-0.015483441108609886	-0.00354469050713635	0.01365776390267659	-0.016475073214716085	-0.036140598324217565	0.02343024277381056	-0.009250081273993849	-0.039858087093484484	0.023471154985709952	0.020942083954513246	-0.03608644067796607	-0.02395503123184417	0.0440773834736643	-0.08023275041114492
HNF4A	-0.04801822521418711	-0.04773262521192145	0.01592452826524615	0.0	-0.05331145456072642	0.02343546936204477	-0.03357870119379969	-0.02597499912721929	-0.017469037284662925	0.005743724710248754	0.010815876030043914	0.010554427975344893	0.025106610237807248	-0.08823596489300145	-0.03919062078272595	0.04798684239001061	-0.04917372425423677
YY1	0.061344072005253325	0.09645849139537331	0.00354469050713635	0.05331145456072642	0.0	0.11398718906120653	0.11905030006924675	-0.041678262890300355	0.12378814958717826	0.1193984813023353	0.06398282842384473	0.07187905739959655	0.14409633759656099	-0.036078421052631565	0.054646877144818085	-0.01707034855960532	0.0447086413911397
FOSL1::JUN	-0.0866800839559706	-0.051242182709993866	-0.01365776390267659	-0.02343546936204477	-0.11398718906120653	0.0	-0.10226610986748824	-0.05676441978888125	-0.12132566268970335	-0.04401545477425195	-0.047586711259754666	-0.014992180893934948	0.03143600610874997	0.04685542197528508	0.058312026237484105	-0.029780969519239475	-0.03607364594748158
FOXA1	-0.008773485810718656	0.006663096526024759	0.016475073214716085	0.03388032330175256	-0.11905030006924675	0.10226610986748824	0.0	-0.007117573307813041	0.09787526485788114	0.015047110980808576	0.032261625180621034	0.10400572394963742	0.11168860627695965	-0.04337337085949336	-0.065776119402985	-0.029266804123711243	0.05982622417922806
TFAP2C	0.002605430285700816	-0.015784784788565764	0.03935621916812704	0.02714753764668093	0.04245966653986177	0.05609200227521427	0.007117573307813041	0.0	0.055956492774409394	0.008066869371914087	0.015637846427153768	0.04798805749039525	0.07003027006624879	0.009180179577268383	0.07535661849025022	0.05965366466784605	-0.025648105213502415
CREB1	-0.0472924623095024	-0.019786976557804037	-0.02343024277381056	0.017469037284662925	-0.12378814958717826	0.12132566268970335	-0.09787526485788114	-0.055956492774409394	0.0	0.006852876448465328	-0.003267170601411795	0.016100725697569818	0.07875054466230946	-0.06722628546099296	0.013813333333333677	-0.06614510153437492	-0.05229739115766002
PPARA::RXRA	-0.02124515554395487	-0.06273183083020989	0.006800639357652738	-0.020337602815659994	-0.1193984813023353	0.04318577827969139	-0.015047110980808576	-0.005650047158315186	-0.006852876448465328	0.0	-0.07290483115017016	0.030496560076079537	-0.06740764422796397	0.07375444368807188	0.0260747456877487	0.09668411218629536	-0.024245616033734374
